Sample name,Sequence count
EC220_BPDNR,812329
VL70_BPDNR,713489
VL100_BPDNR,561668
VL80_BPDNR,525995
VL230_BPDNR,517757
VL90_BPDNR,512278
EC140_BPDNR,434361
VL210_BPDNR,430654
EC20_BPDNR,395078
EC110_BPDNR,393147
EC130_BPDNR,388141
MOCKD0_BPDNR,382072
EC120_BPDNR,362892
VL200_BPDNR,336417
EC10_BPDNR,332448
VL220_BPDNR,299134
EC30_BPDNR,276057
EC50_BPDNR,257365
VL10_BPDNR,249058
VL20_BPDNR,244395
VL50_BPDNR,243170
MOCKC0_BPDNR,242588
VL190_BPDNR,238867
VL110_BPDNR,235037
EC230_BPDNR,228203
MOCKB0_BPDNR,224945
EC90_BPDNR,215810
VL30_BPDNR,214364
VL40_BPDNR,212774
EC100_BPDNR,212690
EC210_BPDNR,198200
MOCKE0_BPDNR,193326
MOCKA0_BPDNR,192487
VL130_BPDNR,187606
EC200_BPDNR,179706
VL160_BPDNR,171153
VL60_BPDNR,168894
VL180_BPDNR,167670
EC80_BPDNR,154800
VL150_BPDNR,152389
EC180_BPDNR,146746
EC190_BPDNR,137747
EC60_BPDNR,136796
VL140_BPDNR,123470
EC170_BPDNR,118000
VL170_BPDNR,116218
EC150_BPDNR,116133
EC160_BPDNR,104769
VL120_BPDNR,101174
EC40_BPDNR,97194
EC70_BPDNR,67196
CONT10_BPDNR,55451
CONT3rep0_BPDNR,30176
CONT40_BPDNR,23831
CONT4rep0_BPDNR,17911
CONT1rep0_BPDNR,12307
CONT20_BPDNR,8726
HCONT0_BPDNR,7007
CONT30_BPDNR,693
CONT2rep0_BPDNR,166
